"","X","is.HVG"
"AL031432.1","AL031432.1",FALSE
"SYF2","SYF2",FALSE
"AL031432.4","AL031432.4",FALSE
"AL031432.5","AL031432.5",FALSE
"RSRP1","RSRP1",FALSE
"AL031432.3","AL031432.3",FALSE
"RHD","RHD",FALSE
"TMEM50A","TMEM50A",FALSE
"RHCE","RHCE",FALSE
"MACO1","MACO1",FALSE
"LDLRAP1","LDLRAP1",FALSE
"AL606491.1","AL606491.1",FALSE
"MAN1C1","MAN1C1",FALSE
"AL031280.1","AL031280.1",FALSE
"SELENON","SELENON",FALSE
"AL020996.1","AL020996.1",FALSE
"MTFR1L","MTFR1L",FALSE
"AL020996.3","AL020996.3",FALSE
"AUNIP","AUNIP",FALSE
"AL033528.2","AL033528.2",FALSE
"PAQR7","PAQR7",FALSE
"STMN1","STMN1",TRUE
"PAFAH2","PAFAH2",FALSE
"EXTL1","EXTL1",TRUE
"SLC30A2","SLC30A2",FALSE
"AL391650.2","AL391650.2",FALSE
"TRIM63","TRIM63",FALSE
"PDIK1L","PDIK1L",FALSE
"FAM110D","FAM110D",FALSE
"C1orf232","C1orf232",FALSE
"AL391650.1","AL391650.1",FALSE
"ZNF593","ZNF593",FALSE
"CNKSR1","CNKSR1",FALSE
"CATSPER4","CATSPER4",FALSE
"CEP85","CEP85",FALSE
"SH3BGRL3","SH3BGRL3",FALSE
"UBXN11","UBXN11",FALSE
"CD52","CD52",FALSE
"CRYBG2","CRYBG2",FALSE
"ZNF683","ZNF683",FALSE
"LIN28A","LIN28A",FALSE
"DHDDS","DHDDS",FALSE
"AL513365.2","AL513365.2",FALSE
"HMGN2","HMGN2",FALSE
"RPS6KA1","RPS6KA1",FALSE
"AL512408.1","AL512408.1",FALSE
"ARID1A","ARID1A",FALSE
"PIGV","PIGV",FALSE
"ZDHHC18","ZDHHC18",FALSE
"SFN","SFN",TRUE
"GPN2","GPN2",FALSE
"AL034380.1","AL034380.1",FALSE
"GPATCH3","GPATCH3",FALSE
"NUDC","NUDC",FALSE
"NR0B2","NR0B2",FALSE
"KDF1","KDF1",FALSE
"TRNP1","TRNP1",FALSE
"TENT5B","TENT5B",FALSE
"SLC9A1","SLC9A1",FALSE
"AL590640.1","AL590640.1",FALSE
"WDTC1","WDTC1",FALSE
"TMEM222","TMEM222",FALSE
"SYTL1","SYTL1",FALSE
"MAP3K6","MAP3K6",FALSE
"FCN3","FCN3",FALSE
"CD164L2","CD164L2",FALSE
"GPR3","GPR3",FALSE
"WASF2","WASF2",FALSE
"FO393419.2","FO393419.2",FALSE
"BX293535.1","BX293535.1",FALSE
"AHDC1","AHDC1",FALSE
"FGR","FGR",FALSE
"LINC02574","LINC02574",FALSE
"IFI6","IFI6",FALSE
"AL445490.1","AL445490.1",FALSE
"AL020997.5","AL020997.5",FALSE
"FAM76A","FAM76A",FALSE
"STX12","STX12",FALSE
"AL020997.2","AL020997.2",FALSE
"AL020997.3","AL020997.3",FALSE
"AL020997.4","AL020997.4",FALSE
"PPP1R8","PPP1R8",FALSE
"THEMIS2","THEMIS2",FALSE
"RPA2","RPA2",FALSE
"SMPDL3B","SMPDL3B",FALSE
"AL512288.1","AL512288.1",FALSE
"XKR8","XKR8",FALSE
"EYA3","EYA3",FALSE
"PTAFR","PTAFR",FALSE
"DNAJC8","DNAJC8",FALSE
"ATP5IF1","ATP5IF1",FALSE
"AL353622.1","AL353622.1",FALSE
"AL353622.2","AL353622.2",FALSE
"SESN2","SESN2",FALSE
"MED18","MED18",FALSE
"PHACTR4","PHACTR4",FALSE
"RCC1","RCC1",FALSE
"SNHG3","SNHG3",FALSE
"TRNAU1AP","TRNAU1AP",FALSE
"SNHG12","SNHG12",FALSE
"TAF12","TAF12",FALSE
"RAB42","RAB42",FALSE
"LINC01715","LINC01715",FALSE
"AL360012.1","AL360012.1",FALSE
"GMEB1","GMEB1",FALSE
"YTHDF2","YTHDF2",FALSE
"OPRD1","OPRD1",FALSE
"AL009181.1","AL009181.1",FALSE
"EPB41","EPB41",FALSE
"TMEM200B","TMEM200B",FALSE
"AL357500.1","AL357500.1",FALSE
"SRSF4","SRSF4",FALSE
"MECR","MECR",FALSE
"AL590729.1","AL590729.1",FALSE
"PTPRU","PTPRU",FALSE
"LINC01756","LINC01756",FALSE
"AC092265.1","AC092265.1",FALSE
"AL645944.2","AL645944.2",FALSE
"LINC01648","LINC01648",FALSE
"AL137076.1","AL137076.1",FALSE
"AL161638.2","AL161638.2",FALSE
"AL161638.1","AL161638.1",FALSE
"MATN1","MATN1",TRUE
"MATN1-AS1","MATN1-AS1",FALSE
"AL137857.1","AL137857.1",FALSE
"LAPTM5","LAPTM5",TRUE
"AL137027.1","AL137027.1",FALSE
"LINC01778","LINC01778",FALSE
"AL445235.1","AL445235.1",FALSE
"SDC3","SDC3",TRUE
"PUM1","PUM1",FALSE
"NKAIN1","NKAIN1",FALSE
"SNRNP40","SNRNP40",FALSE
"ZCCHC17","ZCCHC17",FALSE
"AL451070.1","AL451070.1",FALSE
"FABP3","FABP3",FALSE
"SERINC2","SERINC2",FALSE
"LINC01226","LINC01226",FALSE
"AC114488.1","AC114488.1",FALSE
"TINAGL1","TINAGL1",TRUE
"HCRTR1","HCRTR1",FALSE
"PEF1","PEF1",FALSE
"AC114488.2","AC114488.2",FALSE
"AC114488.3","AC114488.3",FALSE
"COL16A1","COL16A1",TRUE
"ADGRB2","ADGRB2",FALSE
"AL354919.2","AL354919.2",FALSE
"SPOCD1","SPOCD1",FALSE
"AL354919.1","AL354919.1",FALSE
"AL136115.2","AL136115.2",FALSE
"PTP4A2","PTP4A2",FALSE
"AL136115.1","AL136115.1",FALSE
"AL136115.3","AL136115.3",FALSE
"KHDRBS1","KHDRBS1",FALSE
"AL445248.1","AL445248.1",FALSE
"TMEM39B","TMEM39B",FALSE
"KPNA6","KPNA6",FALSE
"AL049795.2","AL049795.2",FALSE
"TXLNA","TXLNA",FALSE
"CCDC28B","CCDC28B",FALSE
"AL049795.1","AL049795.1",FALSE
"IQCC","IQCC",FALSE
"DCDC2B","DCDC2B",FALSE
"TMEM234","TMEM234",FALSE
"EIF3I","EIF3I",FALSE
"FAM167B","FAM167B",FALSE
"LCK","LCK",FALSE
"HDAC1","HDAC1",FALSE
"MARCKSL1","MARCKSL1",FALSE
"AL109945.1","AL109945.1",FALSE
"TSSK3","TSSK3",FALSE
"FAM229A","FAM229A",FALSE
"BSDC1","BSDC1",FALSE
