"","X","is.HVG"
"AL928970.1","AL928970.1",FALSE
"FAM138C","FAM138C",FALSE
"PGM5P3-AS1","PGM5P3-AS1",FALSE
"AL449043.1","AL449043.1",FALSE
"LINC01388","LINC01388",FALSE
"FOXD4","FOXD4",FALSE
"CBWD1","CBWD1",FALSE
"AL158832.2","AL158832.2",FALSE
"DOCK8-AS1","DOCK8-AS1",FALSE
"DOCK8","DOCK8",FALSE
"AL158832.1","AL158832.1",FALSE
"AL161725.1","AL161725.1",FALSE
"KANK1","KANK1",TRUE
"AL161725.2","AL161725.2",FALSE
"AL392089.1","AL392089.1",FALSE
"AL136979.1","AL136979.1",FALSE
"DMRT1","DMRT1",FALSE
"DMRT3","DMRT3",FALSE
"AL358976.2","AL358976.2",FALSE
"LINC01230","LINC01230",FALSE
"DMRT2","DMRT2",FALSE
"AL358053.1","AL358053.1",FALSE
"SMARCA2","SMARCA2",FALSE
"AL359076.1","AL359076.1",FALSE
"VLDLR-AS1","VLDLR-AS1",FALSE
"AL353614.1","AL353614.1",FALSE
"VLDLR","VLDLR",FALSE
"AL450467.1","AL450467.1",FALSE
"KCNV2","KCNV2",FALSE
"PUM3","PUM3",FALSE
"LINC01231","LINC01231",FALSE
"RFX3","RFX3",FALSE
"RFX3-AS1","RFX3-AS1",FALSE
"AL354977.2","AL354977.2",FALSE
"AL354977.1","AL354977.1",FALSE
"GLIS3","GLIS3",FALSE
"AL137071.1","AL137071.1",FALSE
"GLIS3-AS1","GLIS3-AS1",FALSE
"AL359095.1","AL359095.1",FALSE
"AL162419.1","AL162419.1",FALSE
"SLC1A1","SLC1A1",FALSE
"SPATA6L","SPATA6L",FALSE
"PLPP6","PLPP6",FALSE
"CDC37L1-DT","CDC37L1-DT",FALSE
"CDC37L1","CDC37L1",FALSE
"AK3","AK3",FALSE
"AL353151.2","AL353151.2",FALSE
"RCL1","RCL1",FALSE
"AL158147.1","AL158147.1",FALSE
"JAK2","JAK2",TRUE
"IGHEP2","IGHEP2",FALSE
"INSL6","INSL6",FALSE
"INSL4","INSL4",FALSE
"RLN2","RLN2",FALSE
"RLN1","RLN1",FALSE
"AL135786.2","AL135786.2",FALSE
"PLGRKT","PLGRKT",FALSE
"CD274","CD274",FALSE
"AL162253.2","AL162253.2",FALSE
"PDCD1LG2","PDCD1LG2",FALSE
"AL162253.1","AL162253.1",FALSE
"RIC1","RIC1",FALSE
"AL136980.1","AL136980.1",FALSE
"ERMP1","ERMP1",FALSE
"KIAA2026","KIAA2026",TRUE
"MLANA","MLANA",FALSE
"RANBP6","RANBP6",FALSE
"AL162384.1","AL162384.1",FALSE
"IL33","IL33",FALSE
"TPD52L3","TPD52L3",FALSE
"UHRF2","UHRF2",TRUE
"AL133480.1","AL133480.1",FALSE
"GLDC","GLDC",FALSE
"AL162411.1","AL162411.1",FALSE
"LINC02851","LINC02851",FALSE
"AL354707.1","AL354707.1",FALSE
"KDM4C","KDM4C",FALSE
"AL513412.1","AL513412.1",FALSE
"AL161443.1","AL161443.1",FALSE
"AL157703.1","AL157703.1",FALSE
"AL354694.1","AL354694.1",FALSE
"DMAC1","DMAC1",FALSE
"AL135923.2","AL135923.2",FALSE
"AL135923.1","AL135923.1",FALSE
"PTPRD","PTPRD",FALSE
"AL583805.2","AL583805.2",FALSE
"PTPRD-AS1","PTPRD-AS1",FALSE
"AL596451.1","AL596451.1",FALSE
"AL513422.1","AL513422.1",FALSE
"PTPRD-AS2","PTPRD-AS2",FALSE
"AL135790.1","AL135790.1",FALSE
"AL162413.1","AL162413.1",FALSE
"AL451129.1","AL451129.1",FALSE
"AL355672.1","AL355672.1",FALSE
"AL353595.1","AL353595.1",FALSE
"AL589678.1","AL589678.1",FALSE
"TYRP1","TYRP1",FALSE
"LURAP1L-AS1","LURAP1L-AS1",FALSE
"LURAP1L","LURAP1L",FALSE
"AL161449.2","AL161449.2",FALSE
"MPDZ","MPDZ",TRUE
"AL162386.2","AL162386.2",FALSE
"AL583785.1","AL583785.1",FALSE
"LINC01235","LINC01235",FALSE
"LINC00583","LINC00583",FALSE
"AL360089.1","AL360089.1",FALSE
"NFIB","NFIB",FALSE
"AL136366.1","AL136366.1",FALSE
"AL137017.1","AL137017.1",FALSE
"AL159169.3","AL159169.3",FALSE
"AL159169.2","AL159169.2",FALSE
"ZDHHC21","ZDHHC21",FALSE
"CER1","CER1",FALSE
"FREM1","FREM1",FALSE
"AL512643.2","AL512643.2",FALSE
"AL512643.1","AL512643.1",FALSE
"TTC39B","TTC39B",FALSE
"SNAPC3","SNAPC3",FALSE
"PSIP1","PSIP1",FALSE
"CCDC171","CCDC171",FALSE
"C9orf92","C9orf92",FALSE
"BNC2","BNC2",TRUE
"AL449983.1","AL449983.1",FALSE
"AL450003.1","AL450003.1",FALSE
"BNC2-AS1","BNC2-AS1",FALSE
"AL162725.2","AL162725.2",FALSE
"AL358117.1","AL358117.1",FALSE
"CNTLN","CNTLN",TRUE
"SH3GL2","SH3GL2",FALSE
"ADAMTSL1","ADAMTSL1",FALSE
"AL442638.1","AL442638.1",FALSE
"SAXO1","SAXO1",FALSE
"RRAGA","RRAGA",FALSE
"HAUS6","HAUS6",FALSE
"PLIN2","PLIN2",TRUE
"DENND4C","DENND4C",TRUE
"AL161909.2","AL161909.2",FALSE
"AL391834.1","AL391834.1",FALSE
"AL391834.2","AL391834.2",FALSE
"RPS6","RPS6",FALSE
"AL391834.3","AL391834.3",FALSE
"ACER2","ACER2",FALSE
"AL158206.1","AL158206.1",FALSE
"SLC24A2","SLC24A2",FALSE
"AL158077.2","AL158077.2",FALSE
"AL591222.1","AL591222.1",FALSE
"MLLT3","MLLT3",FALSE
"FOCAD","FOCAD",FALSE
"FOCAD-AS1","FOCAD-AS1",FALSE
"HACD4","HACD4",FALSE
"IFNB1","IFNB1",FALSE
"IFNW1","IFNW1",FALSE
"IFNA21","IFNA21",FALSE
"IFNA4","IFNA4",FALSE
"IFNA7","IFNA7",FALSE
"IFNA10","IFNA10",FALSE
"IFNA16","IFNA16",FALSE
"IFNA17","IFNA17",FALSE
"IFNA14","IFNA14",FALSE
"IFNA5","IFNA5",FALSE
"KLHL9","KLHL9",FALSE
"IFNA6","IFNA6",FALSE
"IFNA13","IFNA13",FALSE
"IFNA2","IFNA2",FALSE
"AL353732.1","AL353732.1",FALSE
"IFNA8","IFNA8",FALSE
"MIR31HG","MIR31HG",FALSE
"IFNA1","IFNA1",FALSE
"IFNE","IFNE",FALSE
"MTAP","MTAP",FALSE
"AL359922.2","AL359922.2",FALSE
"CDKN2A-DT","CDKN2A-DT",FALSE
"CDKN2A","CDKN2A",FALSE
"CDKN2B-AS1","CDKN2B-AS1",FALSE
"AL449423.1","AL449423.1",FALSE
"CDKN2B","CDKN2B",FALSE
"AL157937.1","AL157937.1",FALSE
"DMRTA1","DMRTA1",FALSE
"LINC01239","LINC01239",FALSE
"AL391117.1","AL391117.1",FALSE
"AC017067.1","AC017067.1",FALSE
"AL357614.1","AL357614.1",FALSE
"AL445623.2","AL445623.2",FALSE
"AL445623.1","AL445623.1",FALSE
"ELAVL2","ELAVL2",FALSE
"AL161628.1","AL161628.1",FALSE
"AL365204.1","AL365204.1",FALSE
"AL365204.2","AL365204.2",FALSE
"AL513317.1","AL513317.1",FALSE
"IZUMO3","IZUMO3",FALSE
"AL353811.1","AL353811.1",FALSE
"AL353730.1","AL353730.1",FALSE
"TUSC1","TUSC1",FALSE
"LINC01241","LINC01241",FALSE
"AL353753.1","AL353753.1",FALSE
"AL451137.2","AL451137.2",FALSE
"AL356133.2","AL356133.2",FALSE
"CAAP1","CAAP1",FALSE
"PLAA","PLAA",FALSE
"IFT74","IFT74",FALSE
"IFT74-AS1","IFT74-AS1",FALSE
"LRRC19","LRRC19",FALSE
"AL355432.1","AL355432.1",FALSE
"TEK","TEK",FALSE
"EQTN","EQTN",FALSE
"MOB3B","MOB3B",FALSE
"AL163192.1","AL163192.1",FALSE
"AL451123.2","AL451123.2",FALSE
"IFNK","IFNK",FALSE
"AL451123.1","AL451123.1",FALSE
"C9orf72","C9orf72",FALSE
"AL360014.1","AL360014.1",FALSE
"AL353746.1","AL353746.1",FALSE
"LINGO2","LINGO2",FALSE
"AL445526.1","AL445526.1",FALSE
"AL162388.2","AL162388.2",FALSE
"LINC01242","LINC01242",FALSE
"LINC01243","LINC01243",FALSE
"ACO1","ACO1",FALSE
"DDX58","DDX58",FALSE
"TOPORS","TOPORS",FALSE
"SMIM27","SMIM27",FALSE
"NDUFB6","NDUFB6",FALSE
"TAF1L","TAF1L",FALSE
"AL589642.1","AL589642.1",FALSE
"AL589642.2","AL589642.2",FALSE
"TMEM215","TMEM215",FALSE
"AL157884.2","AL157884.2",FALSE
"APTX","APTX",FALSE
"DNAJA1","DNAJA1",FALSE
"SMU1","SMU1",FALSE
"B4GALT1","B4GALT1",FALSE
"B4GALT1-AS1","B4GALT1-AS1",FALSE
"SPINK4","SPINK4",FALSE
"BAG1","BAG1",FALSE
"CHMP5","CHMP5",FALSE
"NFX1","NFX1",FALSE
"AQP7","AQP7",FALSE
"AL356218.2","AL356218.2",FALSE
"AQP3","AQP3",TRUE
"NOL6","NOL6",FALSE
"AL139008.2","AL139008.2",FALSE
"ANKRD18B","ANKRD18B",FALSE
"CYP4F26P","CYP4F26P",FALSE
"TRBV20OR9-2","TRBV20OR9-2",FALSE
"TRBV21OR9-2","TRBV21OR9-2",FALSE
"TRBV22OR9-2","TRBV22OR9-2",FALSE
"TRBV23OR9-2","TRBV23OR9-2",FALSE
"TRBV24OR9-2","TRBV24OR9-2",FALSE
"TRBV25OR9-2","TRBV25OR9-2",FALSE
"PTENP1-AS","PTENP1-AS",FALSE
"TRBV26OR9-2","TRBV26OR9-2",FALSE
"AL356489.2","AL356489.2",FALSE
"AL356489.3","AL356489.3",FALSE
"AL356489.1","AL356489.1",FALSE
"AL356489.4","AL356489.4",FALSE
"LINC01251","LINC01251",FALSE
"PRSS3","PRSS3",FALSE
"UBE2R2-AS1","UBE2R2-AS1",FALSE
"TRBV29OR9-2","TRBV29OR9-2",FALSE
"UBE2R2","UBE2R2",FALSE
"UBAP2","UBAP2",FALSE
"AL354989.1","AL354989.1",FALSE
"DCAF12","DCAF12",FALSE
"UBAP1","UBAP1",FALSE
"KIF24","KIF24",FALSE
"NUDT2","NUDT2",FALSE
"MYORG","MYORG",FALSE
"C9orf24","C9orf24",TRUE
"FAM219A","FAM219A",FALSE
"DNAI1","DNAI1",FALSE
"ENHO","ENHO",TRUE
"AL160270.1","AL160270.1",FALSE
"CNTFR","CNTFR",TRUE
"CNTFR-AS1","CNTFR-AS1",FALSE
"RPP25L","RPP25L",FALSE
"DCTN3","DCTN3",FALSE
"ARID3C","ARID3C",FALSE
"SIGMAR1","SIGMAR1",FALSE
"GALT","GALT",FALSE
"IL11RA","IL11RA",TRUE
"CCL27","CCL27",FALSE
"AL162231.1","AL162231.1",FALSE
"AL162231.2","AL162231.2",FALSE
"CCL19","CCL19",TRUE
"CCL21","CCL21",TRUE
"FAM205A","FAM205A",FALSE
"AL589645.1","AL589645.1",FALSE
"FAM205C","FAM205C",FALSE
"PHF24","PHF24",FALSE
"DNAJB5-DT","DNAJB5-DT",FALSE
"DNAJB5","DNAJB5",FALSE
"AL355377.3","AL355377.3",FALSE
"AL355377.4","AL355377.4",FALSE
"C9orf131","C9orf131",FALSE
"VCP","VCP",FALSE
"FANCG","FANCG",FALSE
"PIGO","PIGO",FALSE
"AL353795.2","AL353795.2",FALSE
"STOML2","STOML2",FALSE
"FAM214B","FAM214B",FALSE
"UNC13B","UNC13B",FALSE
"RUSC2","RUSC2",FALSE
"AL133476.1","AL133476.1",FALSE
"FAM166B","FAM166B",FALSE
"TESK1","TESK1",FALSE
"CD72","CD72",FALSE
"AL357874.2","AL357874.2",FALSE
"AL357874.1","AL357874.1",FALSE
"SIT1","SIT1",FALSE
"RMRP","RMRP",FALSE
"CCDC107","CCDC107",TRUE
"ARHGEF39","ARHGEF39",FALSE
"CA9","CA9",FALSE
"TPM2","TPM2",TRUE
"TLN1","TLN1",TRUE
"CREB3","CREB3",FALSE
"GBA2","GBA2",FALSE
"RGP1","RGP1",FALSE
"MSMP","MSMP",FALSE
"AL133410.2","AL133410.2",FALSE
"AL133410.1","AL133410.1",FALSE
"NPR2","NPR2",TRUE
"SPAG8","SPAG8",FALSE
"HINT2","HINT2",FALSE
"TMEM8B","TMEM8B",FALSE
"FAM221B","FAM221B",FALSE
"OR13J1","OR13J1",FALSE
"HRCT1","HRCT1",FALSE
"SPAAR","SPAAR",FALSE
"AL135841.1","AL135841.1",FALSE
"OR2S2","OR2S2",FALSE
"RECK","RECK",TRUE
"GLIPR2","GLIPR2",FALSE
"CCIN","CCIN",FALSE
"CLTA","CLTA",FALSE
"GNE","GNE",FALSE
"RNF38","RNF38",FALSE
"MELK","MELK",FALSE
"AL450267.2","AL450267.2",FALSE
"PAX5","PAX5",FALSE
"AL450267.1","AL450267.1",FALSE
"AL161781.2","AL161781.2",FALSE
"LINC01400","LINC01400",FALSE
"AL512604.3","AL512604.3",FALSE
"EBLN3P","EBLN3P",FALSE
"AL512604.2","AL512604.2",FALSE
"ZCCHC7","ZCCHC7",FALSE
"LINC01627","LINC01627",FALSE
"GRHPR","GRHPR",FALSE
"ZBTB5","ZBTB5",FALSE
"POLR1E","POLR1E",FALSE
"AL513165.1","AL513165.1",FALSE
"FBXO10","FBXO10",FALSE
"TOMM5","TOMM5",FALSE
"FRMPD1","FRMPD1",FALSE
"TRMT10B","TRMT10B",FALSE
"EXOSC3","EXOSC3",FALSE
"DCAF10","DCAF10",FALSE
"SLC25A51","SLC25A51",FALSE
"SHB","SHB",FALSE
"AL135785.1","AL135785.1",FALSE
"ALDH1B1","ALDH1B1",FALSE
"IGFBPL1","IGFBPL1",FALSE
"ANKRD18A","ANKRD18A",FALSE
"FAM201A","FAM201A",FALSE
"AL591543.1","AL591543.1",FALSE
"FAM240B","FAM240B",FALSE
"AL845311.1","AL845311.1",FALSE
"AL953883.1","AL953883.1",FALSE
"CNTNAP3","CNTNAP3",FALSE
"SPATA31A1","SPATA31A1",FALSE
"FAM74A1","FAM74A1",FALSE
"BX005214.1","BX005214.1",FALSE
"BX005214.2","BX005214.2",FALSE
"GLIDR","GLIDR",FALSE
"BX664615.2","BX664615.2",FALSE
"AL773545.1","AL773545.1",FALSE
"ANKRD20A2","ANKRD20A2",FALSE
"BX664727.3","BX664727.3",FALSE
"BMS1P14","BMS1P14",FALSE
"FP325318.1","FP325318.1",FALSE
"IGKV1OR9-2","IGKV1OR9-2",FALSE
"AL353626.1","AL353626.1",FALSE
"BX255923.1","BX255923.1",FALSE
"BX255923.2","BX255923.2",FALSE
"FOXD4L6","FOXD4L6",FALSE
"CBWD6","CBWD6",FALSE
"AL845472.1","AL845472.1",FALSE
"AL354718.2","AL354718.2",FALSE
"AL591926.2","AL591926.2",FALSE
"FAM242F","FAM242F",FALSE
"AL162731.1","AL162731.1",FALSE
"CNTNAP3B","CNTNAP3B",FALSE
"SPATA31A6","SPATA31A6",FALSE
"FAM74A7","FAM74A7",FALSE
"AL445584.2","AL445584.2",FALSE
"BX088651.4","BX088651.4",FALSE
"BX088651.2","BX088651.2",FALSE
"BX664718.1","BX664718.1",FALSE
"SPATA31A5","SPATA31A5",FALSE
"AL590491.2","AL590491.2",FALSE
"SPATA31A7","SPATA31A7",FALSE
"BX005040.3","BX005040.3",FALSE
"BX005040.1","BX005040.1",FALSE
"CNTNAP3C","CNTNAP3C",FALSE
"FAM242D","FAM242D",FALSE
"AL935212.1","AL935212.1",FALSE
"FAM27C","FAM27C",FALSE
"AL391987.2","AL391987.2",FALSE
"AL391987.1","AL391987.1",FALSE
"AL391987.4","AL391987.4",FALSE
"AL391987.3","AL391987.3",FALSE
"FAM242E","FAM242E",FALSE
"AL590399.3","AL590399.3",FALSE
"AL590399.1","AL590399.1",FALSE
"AL590399.5","AL590399.5",FALSE
"LINC01189","LINC01189",FALSE
"BX005266.2","BX005266.2",FALSE
"LINC01410","LINC01410",FALSE
"AL512625.3","AL512625.3",FALSE
"AL512625.2","AL512625.2",FALSE
"LERFS","LERFS",FALSE
"AL512625.1","AL512625.1",FALSE
"AL772155.1","AL772155.1",FALSE
"CR786580.1","CR786580.1",FALSE
"CR769776.3","CR769776.3",FALSE
"ANKRD20A4","ANKRD20A4",FALSE
"IGKV1OR-2","IGKV1OR-2",FALSE
"IGKV1OR9-1","IGKV1OR9-1",FALSE
"FOXD4L5","FOXD4L5",FALSE
"FP326651.1","FP326651.1",FALSE
"CBWD5","CBWD5",FALSE
"FOXD4L4","FOXD4L4",FALSE
"IGKV1OR-3","IGKV1OR-3",FALSE
"AL136317.2","AL136317.2",FALSE
"ANKRD20A3","ANKRD20A3",FALSE
"ZNF658","ZNF658",FALSE
"AL353770.4","AL353770.4",FALSE
"AL353770.3","AL353770.3",FALSE
"SPATA31A3","SPATA31A3",FALSE
"BX664730.1","BX664730.1",FALSE
"FAM27E3","FAM27E3",FALSE
"AL627230.3","AL627230.3",FALSE
"AL627230.1","AL627230.1",FALSE
"ANKRD20A1","ANKRD20A1",FALSE
"AL353608.2","AL353608.2",FALSE
"CBWD3","CBWD3",FALSE
"FOXD4L3","FOXD4L3",FALSE
"AL353608.3","AL353608.3",FALSE
"AL353608.1","AL353608.1",FALSE
"PGM5","PGM5",TRUE
"PGM5-AS1","PGM5-AS1",TRUE
"AL161457.2","AL161457.2",FALSE
"AL161457.1","AL161457.1",FALSE
"TMEM252","TMEM252",FALSE
"TMEM252-DT","TMEM252-DT",FALSE
"LINC01506","LINC01506",FALSE
"PIP5K1B","PIP5K1B",FALSE
"FAM122A","FAM122A",FALSE
"AL354794.1","AL354794.1",FALSE
"PRKACG","PRKACG",FALSE
"FXN","FXN",FALSE
"TJP2","TJP2",FALSE
"BANCR","BANCR",FALSE
"FAM189A2","FAM189A2",FALSE
"APBA1","APBA1",FALSE
"AL355140.1","AL355140.1",FALSE
"AL353693.1","AL353693.1",FALSE
"AL162412.1","AL162412.1",FALSE
"PTAR1","PTAR1",TRUE
"C9orf135-DT","C9orf135-DT",FALSE
"C9orf135","C9orf135",FALSE
"MAMDC2-AS1","MAMDC2-AS1",FALSE
"MAMDC2","MAMDC2",TRUE
"SMC5-AS1","SMC5-AS1",FALSE
"SMC5","SMC5",FALSE
"AL162390.1","AL162390.1",FALSE
"KLF9","KLF9",TRUE
"TRPM3","TRPM3",FALSE
"AL159990.2","AL159990.2",FALSE
"AL159990.1","AL159990.1",FALSE
"CEMIP2","CEMIP2",FALSE
"ABHD17B","ABHD17B",FALSE
"C9orf85","C9orf85",FALSE
"C9orf57","C9orf57",FALSE
"AL583829.1","AL583829.1",FALSE
"GDA","GDA",FALSE
"AL135924.2","AL135924.2",FALSE
"LINC01504","LINC01504",FALSE
"ZFAND5","ZFAND5",FALSE
"TMC1","TMC1",FALSE
"LINC01474","LINC01474",FALSE
"ALDH1A1","ALDH1A1",TRUE
"ANXA1","ANXA1",FALSE
"AL451127.2","AL451127.2",FALSE
"AL451127.1","AL451127.1",FALSE
"AL355674.1","AL355674.1",FALSE
"RORB-AS1","RORB-AS1",FALSE
"RORB","RORB",FALSE
"AL137018.1","AL137018.1",FALSE
"TRPM6","TRPM6",FALSE
"C9orf40","C9orf40",FALSE
"CARNMT1-AS1","CARNMT1-AS1",FALSE
"CARNMT1","CARNMT1",FALSE
"AL158825.2","AL158825.2",FALSE
"NMRK1","NMRK1",TRUE
"OSTF1","OSTF1",FALSE
"AL353780.1","AL353780.1",FALSE
"PCSK5","PCSK5",FALSE
"RFK","RFK",FALSE
"GCNT1","GCNT1",FALSE
"PRUNE2","PRUNE2",TRUE
"PCA3","PCA3",FALSE
"AL353637.2","AL353637.2",FALSE
"FOXB2","FOXB2",FALSE
"VPS13A-AS1","VPS13A-AS1",FALSE
"VPS13A","VPS13A",FALSE
"GNA14","GNA14",FALSE
"GNA14-AS1","GNA14-AS1",FALSE
"GNAQ","GNAQ",FALSE
"CEP78","CEP78",FALSE
"PSAT1","PSAT1",FALSE
"AL512634.1","AL512634.1",FALSE
"LNCARSR","LNCARSR",FALSE
"TLE4","TLE4",FALSE
"AL161912.1","AL161912.1",FALSE
"AL161912.2","AL161912.2",FALSE
"AL161782.1","AL161782.1",FALSE
"LINC01507","LINC01507",FALSE
"AL138749.1","AL138749.1",FALSE
"TLE1","TLE1",FALSE
"AL591368.1","AL591368.1",FALSE
"AL158154.2","AL158154.2",FALSE
"SPATA31D4","SPATA31D4",FALSE
"AL158154.3","AL158154.3",FALSE
"SPATA31D3","SPATA31D3",FALSE
"SPATA31D1","SPATA31D1",FALSE
"AL162726.1","AL162726.1",FALSE
"AL162726.4","AL162726.4",FALSE
"AL353774.1","AL353774.1",FALSE
"RASEF","RASEF",FALSE
"AL499602.1","AL499602.1",FALSE
"AL137847.1","AL137847.1",FALSE
"FRMD3","FRMD3",FALSE
"AL137847.2","AL137847.2",FALSE
"IDNK","IDNK",FALSE
"UBQLN1","UBQLN1",FALSE
"AL354920.1","AL354920.1",FALSE
"GKAP1","GKAP1",FALSE
"AL354733.1","AL354733.1",FALSE
"AL354733.2","AL354733.2",FALSE
"KIF27","KIF27",FALSE
"C9orf64","C9orf64",FALSE
"HNRNPK","HNRNPK",FALSE
"AL354733.3","AL354733.3",FALSE
"RMI1","RMI1",FALSE
"AL390838.1","AL390838.1",FALSE
"SLC28A3","SLC28A3",FALSE
"AL356134.1","AL356134.1",FALSE
"AL157886.1","AL157886.1",FALSE
"NTRK2","NTRK2",TRUE
"AL354897.1","AL354897.1",FALSE
"AL354897.2","AL354897.2",FALSE
"AL583827.1","AL583827.1",FALSE
"AGTPBP1","AGTPBP1",FALSE
"AL157882.1","AL157882.1",FALSE
"AL353743.2","AL353743.2",FALSE
"NAA35","NAA35",FALSE
"GOLM1","GOLM1",FALSE
"AL161447.2","AL161447.2",FALSE
"C9orf153","C9orf153",FALSE
"ISCA1","ISCA1",FALSE
"TUT7","TUT7",FALSE
"AL158828.1","AL158828.1",FALSE
"AL353613.1","AL353613.1",FALSE
"LINC02834","LINC02834",FALSE
"GAS1","GAS1",TRUE
"GAS1RR","GAS1RR",FALSE
"AL513318.2","AL513318.2",FALSE
"C9orf170","C9orf170",FALSE
"AL353752.2","AL353752.2",FALSE
"DAPK1","DAPK1",FALSE
"DAPK1-IT1","DAPK1-IT1",FALSE
"CTSL","CTSL",FALSE
"AL772337.2","AL772337.2",FALSE
"SPATA31E1","SPATA31E1",FALSE
"AL353572.3","AL353572.3",FALSE
"CDK20","CDK20",FALSE
"AL353572.4","AL353572.4",FALSE
"AL353748.3","AL353748.3",FALSE
"SPIN1","SPIN1",TRUE
"NXNL2","NXNL2",FALSE
"LINC02843","LINC02843",FALSE
"AL390791.1","AL390791.1",FALSE
"AL772202.1","AL772202.1",FALSE
"S1PR3","S1PR3",TRUE
"SHC3","SHC3",FALSE
"AL353150.1","AL353150.1",TRUE
"CKS2","CKS2",FALSE
"SECISBP2","SECISBP2",TRUE
"SEMA4D","SEMA4D",FALSE
"AL161910.1","AL161910.1",FALSE
"GADD45G","GADD45G",TRUE
"AL606807.1","AL606807.1",FALSE
"BX470209.2","BX470209.2",FALSE
"BX470209.1","BX470209.1",FALSE
"AL161629.1","AL161629.1",FALSE
"MIR4290HG","MIR4290HG",FALSE
"LINC01508","LINC01508",FALSE
"LINC01501","LINC01501",FALSE
"DIRAS2","DIRAS2",FALSE
"SYK","SYK",FALSE
"AL162585.1","AL162585.1",FALSE
"AL355607.1","AL355607.1",FALSE
"AL355607.2","AL355607.2",FALSE
"AL158071.4","AL158071.4",FALSE
"AL158071.3","AL158071.3",FALSE
"AL158071.1","AL158071.1",FALSE
"LINC00484","LINC00484",FALSE
"AL158071.5","AL158071.5",FALSE
"AUH","AUH",FALSE
"NFIL3","NFIL3",TRUE
"AL353764.1","AL353764.1",FALSE
"ROR2","ROR2",TRUE
"SPTLC1","SPTLC1",FALSE
"AL136097.2","AL136097.2",FALSE
"IARS","IARS",FALSE
"NOL8","NOL8",FALSE
"CENPP","CENPP",FALSE
"OGN","OGN",TRUE
"OMD","OMD",TRUE
"ASPN","ASPN",TRUE
"ECM2","ECM2",TRUE
"AL157827.2","AL157827.2",FALSE
"IPPK","IPPK",FALSE
"BICD2","BICD2",FALSE
"AL136981.3","AL136981.3",FALSE
"ZNF484","ZNF484",FALSE
"FGD3","FGD3",FALSE
"SUSD3","SUSD3",FALSE
"AL451065.1","AL451065.1",FALSE
"CARD19","CARD19",FALSE
"NINJ1","NINJ1",FALSE
"AL390760.1","AL390760.1",FALSE
"WNK2","WNK2",FALSE
"C9orf129","C9orf129",FALSE
"AL583839.1","AL583839.1",FALSE
"FAM120AOS","FAM120AOS",FALSE
"FAM120A","FAM120A",FALSE
"PHF2","PHF2",FALSE
"AL442224.1","AL442224.1",FALSE
"BARX1","BARX1",FALSE
"BARX1-DT","BARX1-DT",FALSE
"PTPDC1","PTPDC1",FALSE
"AL360020.1","AL360020.1",FALSE
"AL158152.1","AL158152.1",FALSE
"LINC02603","LINC02603",FALSE
"ZNF169","ZNF169",FALSE
"NUTM2F","NUTM2F",FALSE
"AL691447.2","AL691447.2",FALSE
"MFSD14B","MFSD14B",FALSE
"AL358232.2","AL358232.2",FALSE
"PCAT7","PCAT7",FALSE
"FBP2","FBP2",FALSE
"FBP1","FBP1",FALSE
"AL157936.1","AL157936.1",FALSE
"AOPEP","AOPEP",FALSE
"AL807757.1","AL807757.1",FALSE
"AL807757.2","AL807757.2",FALSE
"AL353768.1","AL353768.1",FALSE
"AL353768.2","AL353768.2",FALSE
"FANCC","FANCC",FALSE
"AL354893.2","AL354893.2",FALSE
"AL161729.3","AL161729.3",FALSE
"PTCH1","PTCH1",TRUE
"AL161729.2","AL161729.2",FALSE
"AL161729.1","AL161729.1",FALSE
"AL161729.4","AL161729.4",FALSE
"AL392185.1","AL392185.1",FALSE
"AL354861.2","AL354861.2",FALSE
"LINC00476","LINC00476",FALSE
"AL354861.3","AL354861.3",FALSE
"ERCC6L2","ERCC6L2",FALSE
"LINC00092","LINC00092",FALSE
"AL449403.1","AL449403.1",FALSE
"AL449403.2","AL449403.2",FALSE
"AL449403.3","AL449403.3",FALSE
"HSD17B3","HSD17B3",FALSE
"AL160269.1","AL160269.1",FALSE
"HSD17B3-AS1","HSD17B3-AS1",FALSE
"SLC35D2","SLC35D2",FALSE
"ZNF367","ZNF367",FALSE
"AL133477.2","AL133477.2",FALSE
"AL133477.3","AL133477.3",FALSE
"HABP4","HABP4",FALSE
"CDC14B","CDC14B",FALSE
"PRXL2C","PRXL2C",FALSE
"AL589843.1","AL589843.1",FALSE
"ZNF510","ZNF510",FALSE
"ZNF782","ZNF782",FALSE
"MFSD14C","MFSD14C",FALSE
"NUTM2G","NUTM2G",FALSE
"CTSV","CTSV",FALSE
"AL590705.3","AL590705.3",FALSE
"AL590705.1","AL590705.1",FALSE
"AL590705.2","AL590705.2",FALSE
"CCDC180","CCDC180",FALSE
"AL512590.3","AL512590.3",FALSE
"TDRD7","TDRD7",FALSE
"TMOD1","TMOD1",TRUE
"AL162385.1","AL162385.1",FALSE
"TSTD2","TSTD2",FALSE
"NCBP1","NCBP1",FALSE
"AL162385.2","AL162385.2",FALSE
"XPA","XPA",FALSE
"PTCSC2","PTCSC2",FALSE
"AL445531.1","AL445531.1",FALSE
"FOXE1","FOXE1",FALSE
"TRMO","TRMO",FALSE
"AL499604.1","AL499604.1",FALSE
"HEMGN","HEMGN",FALSE
"ANP32B","ANP32B",FALSE
"AL354726.1","AL354726.1",FALSE
"NANS","NANS",FALSE
"TRIM14","TRIM14",FALSE
"CORO2A","CORO2A",FALSE
